1024, 0.005000
1084, 0.005000
1149, 0.006000
1217, 0.006000
1290, 0.007000
1366, 0.008000
1448, 0.009000
1534, 0.010000
1625, 0.012000
1722, 0.014000
1824, 0.015000
1933, 0.015000
2048, 0.016000
2169, 0.017000
2298, 0.018000
2435, 0.021000
2580, 0.024000
2733, 0.027000
2896, 0.031000
3068, 0.037000
3250, 0.041000
3444, 0.044000
3649, 0.047000
3866, 0.052000
4096, 0.058000
4339, 0.065000
4597, 0.083000
4870, 0.088000
5160, 0.093000
5467, 0.103000
5792, 0.116000
6137, 0.142000
6501, 0.150000
6888, 0.163000
7298, 0.180000
7732, 0.217000
8192, 0.232000
8679, 0.374000
9195, 0.395000
9741, 0.420000
10321, 0.443000
10935, 0.471000
11585, 0.498000
12274, 0.530000
13003, 0.560000
13777, 0.596000
14596, 0.630000
15464, 0.666000
16384, 0.708000
17358, 1.012000
18390, 1.062000
19483, 1.130000
20642, 1.201000
21870, 1.371000
23170, 1.473000
24548, 1.560000
26007, 1.782000
27554, 1.888000
29192, 2.002000
30928, 2.119000
32768, 2.245000
34716, 3.108000
36780, 3.281000
38967, 3.520000
41285, 3.921000
43740, 4.145000
46340, 4.392000
49096, 4.656000
52015, 6.201000
55108, 6.576000
58385, 7.244000
61857, 7.677000
65536, 8.133000
69432, 10.177000
73561, 10.991000
77935, 11.656000
82570, 12.009000
87480, 12.010000
92681, 12.008000
98193, 12.008000
104031, 12.014000
110217, 12.010000
116771, 12.011000
123715, 12.008000
131072, 12.012000
